namespace,relation1,property,relation2,return_class
Easter,has_property,name,return_class,None
Easter,has_property,nanos,return_class,None
Easter,has_property,normalize,return_class,None
Easter,has_property,rule_code,return_class,None
Easter,has_property,n,return_class,None
ExcelFile,has_property,book,return_class,None
ExcelFile,has_property,sheet_names,return_class,None
FY5253,has_property,freqstr,return_class,None
FY5253,has_property,kwds,return_class,None
FY5253,has_property,name,return_class,None
FY5253,has_property,nanos,return_class,None
FY5253,has_property,normalize,return_class,None
FY5253,has_property,rule_code,return_class,None
FY5253,has_property,n,return_class,None
FY5253,has_property,startingMonth,return_class,None
FY5253,has_property,variation,return_class,None
FY5253,has_property,weekday,return_class,None
FY5253Quarter,has_property,freqstr,return_class,None
FY5253Quarter,has_property,kwds,return_class,None
FY5253Quarter,has_property,name,return_class,None
FY5253Quarter,has_property,nanos,return_class,None
FY5253Quarter,has_property,normalize,return_class,None
FY5253Quarter,has_property,rule_code,return_class,None
FY5253Quarter,has_property,n,return_class,None
FY5253Quarter,has_property,qtr_with_extra_week,return_class,None
FY5253Quarter,has_property,startingMonth,return_class,None
FY5253Quarter,has_property,variation,return_class,None
FY5253Quarter,has_property,weekday,return_class,None
Hour,has_property,delta,return_class,None
Hour,has_property,freqstr,return_class,None
Hour,has_property,kwds,return_class,None
Hour,has_property,name,return_class,None
Hour,has_property,normalize,return_class,None
Hour,has_property,rule_code,return_class,None
Hour,has_property,n,return_class,None
Hour,has_property,nanos,return_class,Int
Index,has_property,dtype,return_class,None
Index,has_property,inferred_type,return_class,None
Index,has_property,shape,return_class,None
Index,has_property,name,return_class,None
Index,has_property,names,return_class,None
Index,has_property,nbytes,return_class,None
Index,has_property,ndim,return_class,None
Index,has_property,size,return_class,None
Index,has_property,empty,return_class,None
Index,has_property,T,return_class,None
Index,has_property,values,return_class,Array
Index,has_property,has_duplicates,return_class,Bool
Index,has_property,hasnans,return_class,Bool
Index,has_property,is_monotonic_increasing,return_class,Bool
Index,has_property,is_monotonic_decreasing,return_class,Bool
Index,has_property,is_unique,return_class,Bool
Interval,has_property,closed,return_class,None
Interval,has_property,left,return_class,None
Interval,has_property,length,return_class,None
Interval,has_property,mid,return_class,None
Interval,has_property,right,return_class,None
Interval,has_property,closed_left,return_class,Bool
Interval,has_property,closed_right,return_class,Bool
Interval,has_property,open_left,return_class,Bool
Interval,has_property,open_right,return_class,Bool
Interval,has_property,is_empty,return_class,Bool
IntervalIndex,has_property,left,return_class,None
IntervalIndex,has_property,right,return_class,None
IntervalIndex,has_property,mid,return_class,None
IntervalIndex,has_property,closed,return_class,None
IntervalIndex,has_property,length,return_class,None
IntervalIndex,has_property,values,return_class,Array
IntervalIndex,has_property,is_empty,return_class,Bool
IntervalIndex,has_property,is_non_overlapping_monotonic,return_class,Bool
IntervalIndex,has_property,is_overlapping,return_class,Bool
LastWeekOfMonth,has_property,freqstr,return_class,None
LastWeekOfMonth,has_property,kwds,return_class,None
LastWeekOfMonth,has_property,name,return_class,None
LastWeekOfMonth,has_property,nanos,return_class,None
LastWeekOfMonth,has_property,normalize,return_class,None
LastWeekOfMonth,has_property,rule_code,return_class,None
LastWeekOfMonth,has_property,n,return_class,None
LastWeekOfMonth,has_property,weekday,return_class,None
LastWeekOfMonth,has_property,week,return_class,None
Micro,has_property,delta,return_class,None
Micro,has_property,freqstr,return_class,None
Micro,has_property,kwds,return_class,None
Micro,has_property,name,return_class,None
Micro,has_property,normalize,return_class,None
Micro,has_property,rule_code,return_class,None
Micro,has_property,n,return_class,None
Micro,has_property,nanos,return_class,Int
Milli,has_property,delta,return_class,None
Milli,has_property,freqstr,return_class,None
Milli,has_property,kwds,return_class,None
Milli,has_property,name,return_class,None
Milli,has_property,normalize,return_class,None
Milli,has_property,rule_code,return_class,None
Milli,has_property,n,return_class,None
Milli,has_property,nanos,return_class,Int
Minute,has_property,delta,return_class,None
Minute,has_property,freqstr,return_class,None
Minute,has_property,kwds,return_class,None
Minute,has_property,name,return_class,None
Minute,has_property,normalize,return_class,None
Minute,has_property,rule_code,return_class,None
Minute,has_property,n,return_class,None
Minute,has_property,nanos,return_class,Int
MonthBegin,has_property,freqstr,return_class,None
MonthBegin,has_property,kwds,return_class,None
MonthBegin,has_property,name,return_class,None
MonthBegin,has_property,nanos,return_class,None
MonthBegin,has_property,normalize,return_class,None
MonthBegin,has_property,rule_code,return_class,None
MonthBegin,has_property,n,return_class,None
MonthEnd,has_property,freqstr,return_class,None
MonthEnd,has_property,kwds,return_class,None
MonthEnd,has_property,name,return_class,None
MonthEnd,has_property,nanos,return_class,None
MonthEnd,has_property,normalize,return_class,None
MonthEnd,has_property,rule_code,return_class,None
MonthEnd,has_property,n,return_class,None
MultiIndex,has_property,names,return_class,None
MultiIndex,has_property,levels,return_class,None
MultiIndex,has_property,codes,return_class,None
MultiIndex,has_property,nlevels,return_class,None
MultiIndex,has_property,levshape,return_class,None
MultiIndex,has_property,dtypes,return_class,None
Nano,has_property,delta,return_class,None
Nano,has_property,freqstr,return_class,None
Nano,has_property,kwds,return_class,None
Nano,has_property,name,return_class,None
Nano,has_property,normalize,return_class,None
Nano,has_property,rule_code,return_class,None
Nano,has_property,n,return_class,None
Nano,has_property,nanos,return_class,Int
pandas,has_property,NaT,return_class,None
pandas,has_property,IndexSlice,return_class,None
pandas,has_property,Interval,return_class,None
pandas,has_property,Int8Dtype,return_class,None
pandas,has_property,Int16Dtype,return_class,None
pandas,has_property,Int32Dtype,return_class,None
pandas,has_property,Int64Dtype,return_class,None
pandas,has_property,UInt8Dtype,return_class,None
pandas,has_property,UInt16Dtype,return_class,None
pandas,has_property,UInt32Dtype,return_class,None
pandas,has_property,UInt64Dtype,return_class,None
pandas,has_property,NA,return_class,None
pandas,has_property,Float32Dtype,return_class,None
pandas,has_property,Float64Dtype,return_class,None
pandas,has_property,BooleanDtype,return_class,None
extensions,has_property,ExtensionDtype,return_class,None
extensions,has_property,ExtensionArray,return_class,None
errors,has_property,AccessorRegistrationWarning,return_class,None
errors,has_property,AttributeConflictWarning,return_class,None
errors,has_property,CategoricalConversionWarning,return_class,None
errors,has_property,ChainedAssignmentError,return_class,None
errors,has_property,ClosedFileError,return_class,None
errors,has_property,CSSWarning,return_class,None
errors,has_property,DatabaseError,return_class,None
errors,has_property,DataError,return_class,None
errors,has_property,DtypeWarning,return_class,None
errors,has_property,DuplicateLabelError,return_class,None
errors,has_property,EmptyDataError,return_class,None
errors,has_property,IncompatibilityWarning,return_class,None
errors,has_property,IndexingError,return_class,None
errors,has_property,InvalidColumnName,return_class,None
errors,has_property,InvalidComparison,return_class,None
errors,has_property,InvalidIndexError,return_class,None
errors,has_property,InvalidVersion,return_class,None
errors,has_property,IntCastingNaNError,return_class,None
errors,has_property,LossySetitemError,return_class,None
errors,has_property,MergeError,return_class,None
errors,has_property,NoBufferPresent,return_class,None
errors,has_property,NullFrequencyError,return_class,None
errors,has_property,NumbaUtilError,return_class,None
errors,has_property,NumExprClobberingError,return_class,None
errors,has_property,OptionError,return_class,None
errors,has_property,OutOfBoundsDatetime,return_class,None
errors,has_property,OutOfBoundsTimedelta,return_class,None
errors,has_property,ParserError,return_class,None
errors,has_property,ParserWarning,return_class,None
errors,has_property,PerformanceWarning,return_class,None
errors,has_property,PossibleDataLossError,return_class,None
errors,has_property,PossiblePrecisionLoss,return_class,None
errors,has_property,PyperclipException,return_class,None
errors,has_property,SettingWithCopyError,return_class,None
errors,has_property,SettingWithCopyWarning,return_class,None
errors,has_property,SpecificationError,return_class,None
errors,has_property,UnsortedIndexError,return_class,None
